fromStopId,toStopId,routeId,orientation,averageSpeed,sampleCount
517214,517168,375,1,26,2529,23155
514193,514376,355,1,23,4799,679
602313,502313,318,0,21,6381,23789
514039,514208,347,0,31,2065,2639
511407,511408,3133,0,29,0660,12
512021,502451,427,0,25,8897,266
500201,504016,431,0,35,7309,20
511046,511261,311,0,33,8548,3
518111,518019,385,1,22,3737,4934
502200,511020,217,1,17,5536,1054
513136,513134,332,1,23,1425,244
513014,513017,332,1,36,9773,27
518058,518060,251,1,24,8004,1026
502401,512206,272,1,33,4024,4974
502050,502102,131,1,33,8618,158
519098,519099,304,1,30,4515,179
501803,501753,131,0,19,3758,200
501002,501602,437,1,23,3814,1362
511426,511242,271,0,13,6340,4
516072,516074,272,1,35,0968,56
513252,513049,2212,1,19,4648,17
514486,514487,355,0,43,2670,2
519107,519108,370,1,23,1406,2744
518114,518115,385,1,37,9274,53
500101,500102,552,1,23,3305,415
517050,517166,373,0,30,5757,294
513048,513251,2212,0,24,9571,25
500101,600101,282,1,30,9382,4
500851,500950,142,0,22,9526,5985
513063,513231,2212,1,27,8166,14
512090,512091,322,1,36,1730,956
519051,519052,302,0,22,6479,5899
501200,501250,441,1,25,4890,1261
613185,600108,332,1,17,7997,226
511276,511278,251,1,29,6773,915
501853,501651,431,0,25,2416,1154
600051,600050,371,0,29,6587,388
513111,513011,334,1,27,2783,7577
500102,500103,552,1,20,4825,1581
513142,513143,283,1,43,2149,56
501950,502100,427,1,27,9497,6
501301,501251,142,0,16,4737,6
518133,518134,282,1,42,5221,1
518118,518185,385,1,40,5459,2920
516139,516193,2211,1,33,7139,7
516171,515142,2212,1,25,0523,7
517200,502050,2273,1,21,4697,190
501753,501701,421,1,22,6273,1458
511423,511109,271,1,49,4532,1
502300,502251,131,0,29,4609,932
514174,514277,355,0,55,8014,2
512091,512092,322,1,18,8635,623
518197,518198,555,1,25,0302,35061
517195,517196,370,1,19,4499,3933
501350,501854,441,1,28,4362,147
516273,516274,377,1,29,7258,610
602601,502601,150,0,19,8803,2406
604009,504009,131,0,10,9615,113
516058,516060,272,1,31,3023,13
517038,517039,3721,1,29,8986,18
514468,514173,355,0,29,4009,5
519266,519164,427,0,45,7131,2
511265,502302,3141,0,24,9158,529
600166,600161,353,0,29,7535,21
602314,602313,318,0,28,1858,446
502601,502651,150,1,36,8511,145
514379,514415,283,1,26,8608,3299
515077,515078,651,1,27,0007,15166
501901,501853,131,0,23,5543,865
514415,514076,2141,1,28,4174,1
501701,501601,437,0,31,4156,862
519080,519051,306,0,11,1055,198
515143,516230,2211,1,21,2306,22
515142,515143,251,1,20,4599,3185
500300,500400,437,1,23,1260,3931
512009,513003,305,1,23,4735,22389
513008,513009,283,0,28,3039,306
514204,514205,347,1,12,3541,914
502651,502701,283,0,34,4123,11
517045,517046,373,0,24,8247,7
514443,514384,283,1,28,2497,1568
501001,501401,131,0,24,8741,1647
501251,501201,441,0,25,1362,326
514278,514432,355,1,20,6627,166
512206,512021,272,1,24,1471,16269
502151,502103,217,0,36,3583,194
515190,515191,353,0,42,8372,111
518149,516168,251,1,23,1187,706
502450,512022,427,1,24,7439,186
500105,600105,321,0,44,7903,424
513143,513144,283,1,35,8514,45
519022,519290,272,1,49,7372,4
514197,514122,355,1,16,8449,8
500107,512078,321,1,7,1118,192
511344,511257,318,0,49,3769,4
514209,514429,347,0,31,0388,5
501301,501251,441,0,31,5520,135
514200,514428,347,1,68,5126,5
516062,516064,272,1,39,5009,11
516200,516185,377,1,38,7588,1
514432,514433,352,1,21,1428,38101
511475,511476,3132,1,30,0583,8
517076,517249,373,0,23,4709,27556
600101,600102,2212,0,11,1660,7
514429,514210,142,1,43,8582,7
516033,516031,2273,1,12,6310,12
501855,501753,421,1,23,0310,1180
518204,518111,385,0,25,6488,15048
502351,502401,421,1,18,1468,511
502400,512001,427,1,42,2386,10
511134,511337,318,1,36,4478,162
500602,500750,437,1,21,5484,879
514194,514195,142,0,29,4759,2433
502101,502051,441,0,32,2602,14
517163,517164,373,1,31,6573,12
502001,501853,217,0,28,5784,1003
500301,500251,437,0,26,4267,2058
514195,514196,347,1,30,8947,18
512123,513264,272,1,32,9187,6
603001,603004,282,0,26,8674,151
518117,518118,385,1,27,1060,94
502050,502100,2273,1,17,0514,124
512019,513252,2212,1,30,6939,39
501351,501301,441,0,22,8682,267
517213,511316,271,0,40,4822,1
519025,519142,272,0,29,5697,375
511472,511492,3132,1,18,7780,8
501151,514020,142,0,9,4101,34
513254,512014,282,0,22,8476,4
514021,514467,142,0,24,2670,1207
511315,517212,272,0,34,7970,3
514232,514233,347,1,24,0586,7124
519165,502401,427,0,26,4485,117
514201,514534,142,0,27,8955,1002
503012,603012,283,0,28,1596,25328
500101,600101,2212,0,21,7867,117
500950,501002,131,1,22,5194,2201
500850,500950,131,1,24,1116,1144
501100,501150,140,1,44,4072,6
501651,501405,431,0,24,5585,16895
514210,514211,142,1,40,7601,9
519110,519282,370,1,25,8972,18910
500250,500300,131,1,35,1392,524
500650,500451,131,0,28,0563,992
