fromStopId,toStopId,routeId,orientation,averageSpeed,sampleCount
515127,515128,353,1,22,3393,26
518162,503001,282,0,17,3687,2989
514535,514209,142,1,40,1841,3
514213,514214,142,1,21,8962,793
519289,519043,305,0,28,5652,603
511431,511429,551,1,23,0599,3529
500401,500301,437,0,21,9318,3777
515070,515071,651,1,30,9696,294
514218,514152,283,0,21,8939,61
500111,512014,323,1,38,8251,5
500300,500350,431,1,30,1420,71
511284,511281,251,1,12,7129,56
516234,515144,2212,0,26,3180,4
514541,514374,283,0,12,5633,2
519052,519067,302,0,21,4322,4525
500108,500110,322,1,24,8329,5148
501001,501500,437,0,20,3189,1759
501701,501001,421,1,24,1709,22
600107,500107,321,0,27,6171,3529
500151,500152,554,1,25,8206,692
501651,501601,131,0,31,2946,86
500161,514382,385,0,28,6527,347
500451,500401,131,0,26,9130,175
502601,502651,452,1,20,6296,28
502651,502701,452,1,15,3458,49
514376,514278,355,1,27,2845,32
501101,501051,441,0,33,1443,5
501301,501251,140,0,9,3911,2
513160,513161,283,0,24,4183,71
514036,514204,347,1,22,0716,50
501550,500601,437,0,20,7478,554
511256,511232,318,1,21,1991,57
514082,514095,283,1,32,1460,24
501502,501552,421,1,31,6248,24
516077,516073,272,0,53,9013,20
516064,516065,272,1,39,4616,2
503003,502700,251,0,31,6704,20
513256,500101,2212,0,35,7037,4
514372,514541,283,0,37,7014,1
519112,519079,305,0,27,7571,2043
500163,500159,554,1,24,9416,1355
603004,503004,282,0,20,2038,1812
513168,513231,332,1,34,9419,4
514055,514056,142,1,29,2506,244
514429,514210,347,0,45,8061,1
516143,516144,377,1,23,4123,135
513252,513033,321,1,22,0535,1328
518061,503003,251,0,38,8063,2
514487,514212,355,0,21,3905,3
502701,503004,251,1,28,2457,22
511298,511275,251,0,33,0575,12
511277,511298,251,0,33,2961,1
501851,501351,441,0,19,2619,13
511043,511361,217,1,25,0381,3
512064,512120,322,1,2,2257,1
514431,514371,283,1,21,2947,23
514198,514199,347,1,10,5636,1
502350,500751,142,0,36,5425,20
500950,501403,140,0,28,4352,7675
514428,514201,142,0,44,2260,130
514534,514202,142,0,31,9397,4
502650,502600,251,0,20,9767,18
517090,517129,373,1,48,1219,8
516065,516067,272,1,22,1853,1
602100,602101,427,1,23,0272,29
511337,511221,318,1,58,2963,10
600161,500161,353,0,22,7902,43
500353,500301,131,0,19,8725,288
511275,516192,251,0,41,0549,3
512186,500109,323,1,32,3524,58
514249,514483,357,1,12,9700,65
502851,502901,150,1,29,2084,12
500251,500201,431,0,31,6104,14
516169,516170,2212,1,24,3790,4
517167,517050,373,0,21,0872,239
513187,513185,332,1,48,8386,12
502650,514379,283,1,24,2319,153
516192,516138,251,0,40,9730,1
501550,500751,150,0,27,6018,1345
514381,514368,353,0,33,9723,6
516073,516071,272,0,26,8475,42
511135,511341,318,0,59,5020,8
502801,502851,150,1,24,2058,233
514212,514213,355,0,18,2678,2
515012,515238,352,1,49,4257,10
514377,514443,283,1,27,1340,28
502800,502750,150,0,28,4036,734
514467,514194,347,1,22,7806,1
513164,513301,332,1,47,1286,3
515060,515194,353,0,22,3585,306
502451,502501,427,0,21,4507,351
500166,600166,353,0,22,8401,14
518196,518197,555,1,26,9899,2561
514301,514302,353,0,17,3293,13
501753,501701,437,0,17,3744,198
503005,502751,150,1,30,3040,905
513215,513138,336,0,21,7704,2734
513185,513164,332,1,23,5949,2
512086,512087,323,1,26,8510,790
515143,516230,251,1,22,1973,206
514207,514039,347,0,35,8233,14
500158,501050,441,1,24,2191,228
519290,519026,272,1,39,9511,11
500850,501002,421,0,20,6418,83
516196,516234,251,0,21,0885,70
501550,500751,140,1,21,7449,2026
514365,514382,283,0,21,8494,367
515197,515198,651,1,25,4772,971
500114,500100,552,1,33,2584,769
516067,516070,272,1,38,8508,4
502201,502151,421,1,50,3392,2
502050,502150,421,0,31,9981,9
500952,519025,272,0,26,8551,153
514370,514417,283,0,37,4784,1
