fromStopId,toStopId,routeId,orientation,averageSpeed,sampleCount
515127,515128,353,1,32,7504,1
518162,503001,282,0,18,3044,544
500851,500950,140,0,20,2513,15
511431,511429,551,1,21,0266,317
500401,500301,437,0,29,6111,13
515070,515071,651,1,34,6395,106
502651,502701,150,1,19,6379,60
502150,502200,431,1,23,0540,5
519052,519067,302,0,26,4134,256
501001,501500,437,0,29,4501,18
517076,517249,373,0,24,4148,332
501651,501601,131,0,28,4106,31
500161,514382,385,0,29,4943,108
502601,502651,452,1,18,7024,9
518204,518111,385,0,27,0791,79
514036,514204,347,1,21,2104,36
501550,500601,437,0,21,1247,83
500602,500750,437,1,24,3477,7
501001,501502,421,1,26,3552,6
502001,501853,217,0,31,9956,3
500301,500251,437,0,44,8437,8
518117,518118,385,1,26,9482,14
500163,500159,554,1,24,4470,261
500500,500602,131,1,41,0213,2
501853,601853,217,0,21,9428,934
513172,513057,722,1,19,1560,71
514368,500166,353,0,26,6501,2
515193,515059,353,0,23,6333,350
514232,514233,347,1,22,8815,267
500950,501403,140,0,20,9623,492
600108,500108,332,1,19,5444,27
501601,501001,131,0,40,7303,7
500950,501002,131,1,24,6755,45
500850,500950,131,1,28,5937,21
517090,517129,373,1,23,6784,1
602100,602101,427,1,17,4943,4
600161,500161,353,0,21,0007,4
501651,501405,431,0,22,4076,449
518198,518196,555,1,28,1359,263
515078,515245,651,1,27,3355,361
517167,517050,373,0,22,1375,22
500250,500300,131,1,32,7489,3
513187,513185,332,1,53,2780,2
502102,502150,431,1,59,3203,2
517091,517090,373,1,46,3411,8
514381,514368,353,0,33,4334,3
500052,500053,557,1,23,9416,194
501550,500751,150,0,23,0402,175
513076,513048,722,1,18,9807,39
501150,501200,140,1,26,9649,1
502801,502851,150,1,30,0823,24
513130,513186,332,1,19,6391,120
511281,502301,251,1,24,3482,9
501951,501853,431,0,16,7219,38
500166,600166,353,0,26,4885,3
518196,518197,555,1,26,4530,493
514301,514302,353,0,37,2534,1
502900,502850,150,0,33,0962,2
501753,501701,437,0,20,1726,29
513157,513074,722,1,17,9543,13
519051,519052,306,0,25,3551,117
518188,518189,385,0,26,6617,2
514207,514039,347,0,36,3913,6
514302,514303,353,0,47,4567,1
501200,501250,140,1,22,3064,8
500850,501002,421,0,24,3957,2
501550,500751,140,1,22,1003,522
519068,519070,306,1,27,6194,107
514291,514292,385,0,27,8169,8
500114,500100,552,1,29,4711,53
517032,517033,371,0,21,1135,105
514206,514207,347,0,29,3116,6
501601,501001,437,0,23,7546,32
518189,518119,385,0,23,4410,26
517083,517084,371,0,34,4079,3
514290,514291,385,0,32,4174,9
501500,501550,140,1,15,2928,13
519052,519281,306,0,23,5070,28
501052,501100,140,1,28,6453,5
500350,500400,131,1,62,8869,1
514233,514204,347,1,19,2071,144
500109,500110,552,1,12,0934,1
516231,516232,271,0,20,1343,188
501101,501051,140,0,22,3243,1
513075,513076,722,1,15,8743,43
518113,518114,385,1,26,3784,183
500100,500101,552,1,21,6152,723
600159,500159,140,0,19,3757,18
500300,500350,131,1,71,1315,1
519067,519050,302,1,45,6721,2
500051,600051,371,0,24,8990,409
514202,514232,347,1,27,4184,70
500800,500850,421,0,54,8507,2
514194,514195,347,1,28,3132,30
502302,511178,311,1,21,3973,734
515128,515190,353,1,26,1208,1
501602,501700,437,1,40,6469,12
514305,514381,353,0,29,4933,4
513132,513130,332,1,22,5119,359
517015,500056,373,0,22,9614,353
500750,500850,437,1,15,5297,22
500112,500113,552,1,45,1187,2
501652,501702,131,1,24,2685,60
500152,500163,554,1,20,8978,537
502650,502600,452,0,20,1485,4
503002,502700,150,0,29,9021,46
504005,604005,333,1,30,0647,364
514444,514475,385,1,37,2062,6
501652,501852,431,1,21,2328,48
500103,500108,552,1,24,6298,15
501500,501550,150,1,29,7309,49
515191,515192,353,0,21,6984,1
502300,502201,431,0,49,0928,3
500161,514367,353,1,19,6376,298
600050,500050,371,0,23,0449,96
500113,500114,552,1,17,9511,10
503001,603001,282,0,18,1085,6
502600,602600,150,0,20,2948,109
618196,518196,357,1,23,3421,640
513071,513075,722,1,17,3544,65
502200,502300,431,1,33,0554,16
501700,501750,437,1,34,5048,12
500400,500602,437,1,31,9084,7
501051,500163,140,0,28,0833,7
502103,502001,217,0,16,3842,5
600167,600161,385,1,30,4642,1
502650,502600,150,0,44,6048,1
500159,501052,140,1,22,3083,17
500055,500058,557,1,32,0090,50
613316,513316,333,1,33,9389,30
502850,502800,150,0,39,8016,6
500167,600167,385,1,27,0664,142
501750,501853,437,1,25,4323,278
602600,602601,150,0,21,9148,3
500111,500112,552,1,13,6959,5
514039,514208,347,0,30,8468,117
501602,501652,131,1,30,7268,45
501450,501500,140,1,23,5005,9
519093,519094,304,1,19,6400,70
514405,514206,347,0,19,5067,150
501950,502102,431,1,31,2991,4
501251,501201,140,0,28,2919,1
501701,501651,131,0,35,3155,3
513185,613185,332,1,23,8191,52
513051,513052,333,1,23,7881,630
500602,500750,131,1,24,7631,59
501002,501602,437,1,23,7649,11
517164,517076,373,1,29,5419,183
514292,514293,385,0,44,8363,3
518114,518115,385,1,47,6026,8
500101,500102,552,1,27,2752,5
602600,602601,452,0,16,5941,10
514076,514376,357,1,17,5642,59
516232,516167,271,0,38,1315,216
519081,519082,303,1,23,5457,330
501405,500353,431,0,23,2797,21
514021,514467,347,1,29,0118,1
501853,501753,437,0,32,7764,29
500450,500500,131,1,44,3987,3
