fromStopId,toStopId,routeId,orientation,averageSpeed,sampleCount
519051,519052,302,0,20,8455,224
514426,514290,385,0,37,5691,13
613185,600108,332,1,8,5281,2
500750,500850,131,1,24,0316,121
501853,501651,431,0,21,6607,46
502701,503005,150,1,30,9742,105
600051,600050,371,0,34,2472,2
519082,519083,303,1,23,8273,321
500102,500103,552,1,47,8392,2
500200,500250,437,1,21,1912,17
502700,502650,150,0,37,2475,14
513186,513187,332,1,17,5418,46
518118,518185,385,1,15,8848,16
500601,500401,437,0,25,1996,9
604005,613316,333,1,15,1509,10
517084,517028,371,0,28,7755,14
514020,514021,347,1,16,1774,3
518197,518198,555,1,25,9407,487
519110,519093,304,0,25,7147,266
514534,514202,347,1,45,1080,7
500850,501002,437,1,21,5813,13
500110,500111,552,1,8,1186,3
500250,500300,437,1,25,4896,20
514367,514400,353,1,36,9460,4
513048,513172,722,1,22,5281,71
500058,500060,557,1,25,4156,302
501852,501950,431,1,15,9947,10
602601,502601,150,0,17,7110,96
511430,511431,551,1,23,3662,439
604009,504009,131,0,11,1984,19
501002,501602,131,1,25,7442,6
602601,502601,452,0,24,6639,98
502600,602600,452,0,22,4221,708
515059,515060,353,0,19,7562,121
600166,600161,353,0,18,7517,1
519092,519081,303,1,20,7818,357
502601,502651,150,1,38,9452,5
515077,515078,651,1,26,6318,418
501701,501601,437,0,30,6743,9
500251,500201,437,0,30,5960,9
500751,500851,140,0,30,7607,10
501500,501550,437,0,20,0303,21
500053,500054,557,1,24,8834,168
502301,514001,251,0,23,6151,817
504009,500200,131,1,73,0227,1
518132,518133,282,1,18,3110,187
514304,514305,353,0,42,8590,2
500300,500400,437,1,21,5153,23
514205,514405,347,1,15,4840,28
500060,500061,557,1,26,9773,317
514204,514205,347,1,12,5762,30
518119,518120,385,0,44,5553,2
501001,501401,131,0,33,5480,3
511106,511469,271,1,32,0933,881
500108,500109,552,1,20,7407,26
502100,602100,427,1,26,3720,155
515190,515191,353,0,33,6602,1
500056,517154,373,1,20,8969,85
517033,517083,371,0,25,3308,75
602101,502101,427,1,25,3521,352
518187,514444,385,1,24,5821,1
