eventType,date,stopId,odometer,latitude,longitude,lineId,tripId,unknown,datagramDate,busId
0,31-MAY-18,511020,34,33531400,-765233667,986,3171,261,5445120516,2018-05-31 00:00:00,1006
0,31-MAY-18,500154,728,34330017,-764788467,770,2473,9851,5445120519,2018-05-31 00:00:00,1103
0,31-MAY-18,-1,1192,34973867,-765007900,-1,999,-1,5445120511,2018-05-31 00:00:00,1173
0,31-MAY-18,501401,2839,34730633,-765203033,917,2301,9934,5445120520,2018-05-31 00:00:00,1179
0,31-MAY-18,-1,263,34956867,-765047600,-1,999,-1,5445120514,2018-05-31 00:00:00,1185
0,31-MAY-18,511352,5686,33632700,-765244350,276,3122,9931,5445120509,2018-05-31 00:00:00,121
0,31-MAY-18,-1,40,33594433,-765116683,-1,999,-1,5445120512,2018-05-31 00:00:00,24
0,31-MAY-18,514302,257,34287900,-764866400,606,353,495,5445120523,2018-05-31 00:00:00,272
0,31-MAY-18,-1,3222,34957467,-765047383,-1,999,-1,5445120518,2018-05-31 00:00:00,307
0,31-MAY-18,504008,19,34905017,-764917733,545,2121,1882,5445120521,2018-05-31 00:00:00,53
0,31-MAY-18,-1,177,33580250,-765120517,-1,999,-1,5445120517,2018-05-31 00:00:00,54
0,31-MAY-18,514233,6,34101200,-764730300,790,2841,300,5445120513,2018-05-31 00:00:00,789
0,31-MAY-18,-1,638,33591850,-765112100,-1,999,-1,5445120522,2018-05-31 00:00:00,829
0,31-MAY-18,502100,12167,34343517,-764793650,832,2274,9927,5445120515,2018-05-31 00:00:00,975
0,31-MAY-18,-1,612,34304083,-764750033,-1,999,-1,5445120510,2018-05-31 00:00:00,983
0,31-MAY-18,-1,-1,33591850,-765113233,-1,-1,-1,5445120531,2018-05-31 00:00:01,1124
0,31-MAY-18,-1,5762,33593633,-765119100,-1,999,-1,5445120532,2018-05-31 00:00:01,1129
0,31-MAY-18,513212,49,34747650,-764931767,79,336,441,5445120524,2018-05-31 00:00:01,1211
0,31-MAY-18,-1,-1,33592383,-765117717,-1,-1,-1,5445120529,2018-05-31 00:00:01,1217
0,31-MAY-18,-1,-1,33587350,-765113283,314,3133,9886,5445120526,2018-05-31 00:00:01,123
0,31-MAY-18,-1,3492,33594333,-765114617,-1,999,-1,5445120534,2018-05-31 00:00:01,128
0,31-MAY-18,500113,-1,34897967,-765088350,337,552,1526,5445120527,2018-05-31 00:00:01,181
0,31-MAY-18,-1,-1,34969200,-765038533,-1,-1,-1,5445120528,2018-05-31 00:00:01,815
0,31-MAY-18,-1,10127,34970600,-765036017,-1,999,-1,5445120525,2018-05-31 00:00:01,889
0,31-MAY-18,514405,683,34039417,-764764783,-1,999,-1,5445120530,2018-05-31 00:00:01,937
0,31-MAY-18,-1,-1,34300533,-764750233,-1,-1,-1,5445120533,2018-05-31 00:00:01,962
0,31-MAY-18,-1,461,34958383,-765054000,-1,999,-1,5445120549,2018-05-31 00:00:02,1025
0,31-MAY-18,-1,4712,34965867,-765035350,-1,999,-1,5445120548,2018-05-31 00:00:02,1063
0,31-MAY-18,-1,506,34303367,-764749550,-1,999,-1,5445120535,2018-05-31 00:00:02,1115
0,31-MAY-18,-1,-1,34972850,-765005650,-1,999,-1,5445120540,2018-05-31 00:00:02,1197
0,31-MAY-18,-1,-1,33592517,-765118133,-1,999,-1,5445120538,2018-05-31 00:00:02,1233
0,31-MAY-18,519192,-1,34505633,-765454883,937,306,9982,5445120541,2018-05-31 00:00:02,198
0,31-MAY-18,-1,-1,34035550,-764761667,-1,-1,-1,5445120543,2018-05-31 00:00:02,221
0,31-MAY-18,514042,20,34142167,-764682850,869,3411,725,5445120546,2018-05-31 00:00:02,253
0,31-MAY-18,-1,-1,33586767,-765111467,-1,999,-1,5445120544,2018-05-31 00:00:02,26
0,31-MAY-18,-1,398,33595283,-765117967,-1,999,-1,5445120547,2018-05-31 00:00:02,382
0,31-MAY-18,-1,2758,33592783,-765114817,-1,999,-1,5445120539,2018-05-31 00:00:02,42
0,31-MAY-18,-1,-1,33601450,-765122017,-1,-1,-1,5445120542,2018-05-31 00:00:02,626
0,31-MAY-18,-1,-1,34302983,-764749400,-1,999,-1,5445120537,2018-05-31 00:00:02,744
0,31-MAY-18,-1,-1,33833200,-765443667,-1,999,-1,5445120536,2018-05-31 00:00:02,873
0,31-MAY-18,-1,93,34048367,-764756167,-1,999,-1,5445120545,2018-05-31 00:00:02,926
0,31-MAY-18,-1,-1,34963683,-765037800,-1,-1,-1,5445120557,2018-05-31 00:00:03,1061
0,31-MAY-18,-1,3926,34290483,-764749017,-1,999,-1,5445120559,2018-05-31 00:00:03,1093
0,31-MAY-18,-1,3150,34953300,-765054217,-1,999,-1,5445120551,2018-05-31 00:00:03,1184
0,31-MAY-18,513316,-1,34906000,-764918350,471,553,614,5445120562,2018-05-31 00:00:03,1213
0,31-MAY-18,-1,-1,-1,-1,-1,-1,-1,5445120554,2018-05-31 00:00:03,151
0,31-MAY-18,-1,-1,34978367,-765020400,-1,-1,-1,5445120556,2018-05-31 00:00:03,183
0,31-MAY-18,513018,44,34752017,-764935183,625,332,308,5445120560,2018-05-31 00:00:03,193
0,31-MAY-18,-1,-1,34282733,-765003317,-1,-1,-1,5445120550,2018-05-31 00:00:03,251
